전술ID,전술명,전술 설명,기법ID,기법명,기법 설명,주요 사용 사례,MITRE 페이지
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1129,Shared Modules,공격자가 공유 모듈을 악용함,DLL이나 공유 라이브러리를 통한 실행,https://attack.mitre.org/techniques/T1129/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1072,Software Deployment Tools,공격자가 소프트웨어 배포 도구를 악용함,SCCM 같은 관리 도구로 악성코드 배포,https://attack.mitre.org/techniques/T1072/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1204,User Execution,공격자가 사용자가 실행하도록 유도함,사용자가 악성 첨부파일을 열도록 속임,https://attack.mitre.org/techniques/T1204/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1047,Windows Management Instrumentation,공격자가 WMI를 사용함,WMI로 원격에서 명령 실행,https://attack.mitre.org/techniques/T1047/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1098,Account Manipulation,공격자가 계정을 조작함,관리자 권한 추가나 백도어 계정 생성,https://attack.mitre.org/techniques/T1098/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1197,BITS Jobs,공격자가 BITS를 악용함,백그라운드 전송 서비스로 악성코드 다운로드,https://attack.mitre.org/techniques/T1197/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1547,Boot or Logon Autostart Execution,공격자가 자동 시작을 설정함,시스템 부팅 시 자동으로 악성코드 실행,https://attack.mitre.org/techniques/T1547/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1037,Boot or Logon Initialization Scripts,공격자가 시작 스크립트를 설치함,로그인 시 실행되는 스크립트에 악성코드 삽입,https://attack.mitre.org/techniques/T1037/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1176,Browser Extensions,공격자가 브라우저 확장을 설치함,악성 브라우저 플러그인으로 데이터 탈취,https://attack.mitre.org/techniques/T1176/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1554,Compromise Client Software Binary,공격자가 클라이언트 소프트웨어를 변조함,정상 프로그램 파일을 악성 버전으로 교체,https://attack.mitre.org/techniques/T1554/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1136,Create Account,공격자가 새 계정을 만듦,백도어용 숨겨진 관리자 계정 생성,https://attack.mitre.org/techniques/T1136/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1543,Create or Modify System Process,공격자가 시스템 프로세스를 만들거나 수정함,악성 서비스나 데몬 등록,https://attack.mitre.org/techniques/T1543/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1546,Event Triggered Execution,공격자가 이벤트 트리거 실행을 설정함,특정 이벤트 발생 시 악성코드 자동 실행,https://attack.mitre.org/techniques/T1546/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1133,External Remote Services,공격자가 외부 원격 서비스에 접근 유지,VPN 계정으로 지속적 접근,https://attack.mitre.org/techniques/T1133/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1574,Hijack Execution Flow,공격자가 실행 흐름을 가로챔,DLL 하이재킹으로 정상 프로그램이 악성 코드 실행,https://attack.mitre.org/techniques/T1574/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1525,Implant Internal Image,공격자가 내부 이미지를 심음,VM이나 컨테이너 이미지에 백도어 삽입,https://attack.mitre.org/techniques/T1525/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1556,Modify Authentication Process,공격자가 인증 프로세스를 변경함,로그인 과정을 조작하여 백도어 생성,https://attack.mitre.org/techniques/T1556/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1137,Office Application Startup,공격자가 오피스 자동 시작을 악용함,워드나 엑셀 시작 시 매크로 자동 실행,https://attack.mitre.org/techniques/T1137/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1542,Pre-OS Boot,공격자가 OS 부팅 전 단계를 악용함,BIOS나 UEFI 펌웨어에 악성코드 삽입,https://attack.mitre.org/techniques/T1542/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1053,Scheduled Task/Job,공격자가 예약 작업을 생성함,정기적으로 악성코드가 실행되도록 스케줄 설정,https://attack.mitre.org/techniques/T1053/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1505,Server Software Component,공격자가 서버 소프트웨어 구성요소를 추가함,웹쉘이나 악성 플러그인 설치,https://attack.mitre.org/techniques/T1505/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1205,Traffic Signaling,공격자가 트래픽 시그널링을 사용함,특정 신호로 백도어 활성화,https://attack.mitre.org/techniques/T1205/
TA0003,Persistence (지속성),공격자가 시스템 재시작이나 자격증명 변경에도 접근을 유지하는 단계. 지속적인 거점 확보,T1078,Valid Accounts,공격자가 정상 계정을 유지함,탈취한 계정으로 지속적 접근,https://attack.mitre.org/techniques/T1078/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1548,Abuse Elevation Control Mechanism,공격자가 권한 상승 제어를 악용함,UAC 우회하여 관리자 권한 획득,https://attack.mitre.org/techniques/T1548/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1134,Access Token Manipulation,공격자가 액세스 토큰을 조작함,다른 사용자의 토큰을 훔쳐 권한 획득,https://attack.mitre.org/techniques/T1134/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1547,Boot or Logon Autostart Execution,공격자가 자동 시작으로 권한 상승,높은 권한으로 실행되는 자동 시작 악용,https://attack.mitre.org/techniques/T1547/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1037,Boot or Logon Initialization Scripts,공격자가 초기화 스크립트로 권한 상승,시스템 시작 스크립트의 높은 권한 악용,https://attack.mitre.org/techniques/T1037/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1543,Create or Modify System Process,공격자가 시스템 프로세스를 만들어 권한 상승,SYSTEM 권한으로 실행되는 서비스 생성,https://attack.mitre.org/techniques/T1543/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1484,Domain or Tenant Policy Modification,공격자가 도메인 정책을 수정함,그룹 정책으로 권한 확대,https://attack.mitre.org/techniques/T1484/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1611,Escape to Host,공격자가 컨테이너에서 호스트로 탈출,Docker 컨테이너에서 호스트 시스템 접근,https://attack.mitre.org/techniques/T1611/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1546,Event Triggered Execution,공격자가 이벤트 트리거로 권한 상승,높은 권한 이벤트 핸들러 악용,https://attack.mitre.org/techniques/T1546/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1068,Exploitation for Privilege Escalation,공격자가 취약점으로 권한 상승,커널 취약점을 이용한 루트 권한 획득,https://attack.mitre.org/techniques/T1068/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1574,Hijack Execution Flow,공격자가 실행 흐름 가로채기로 권한 상승,높은 권한 프로그램의 DLL 하이재킹,https://attack.mitre.org/techniques/T1574/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1055,Process Injection,공격자가 프로세스 인젝션으로 권한 상승,높은 권한 프로세스에 코드 주입,https://attack.mitre.org/techniques/T1055/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1053,Scheduled Task/Job,공격자가 예약 작업으로 권한 상승,SYSTEM 권한 예약 작업 악용,https://attack.mitre.org/techniques/T1053/
TA0004,Privilege Escalation (권한 상승),공격자가 더 높은 권한을 얻는 단계. 더 많은 시스템 자원과 민감 정보에 접근,T1078,Valid Accounts,공격자가 높은 권한 계정 사용,관리자 계정 탈취하여 권한 상승,https://attack.mitre.org/techniques/T1078/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1548,Abuse Elevation Control Mechanism,공격자가 권한 제어 우회,UAC 우회하여 탐지 회피,https://attack.mitre.org/techniques/T1548/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1134,Access Token Manipulation,공격자가 토큰 조작으로 탐지 회피,정상 사용자로 위장,https://attack.mitre.org/techniques/T1134/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1197,BITS Jobs,공격자가 BITS로 은밀히 다운로드,백그라운드에서 눈에 띄지 않게 파일 전송,https://attack.mitre.org/techniques/T1197/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1612,Build Image on Host,공격자가 호스트에서 이미지 빌드,악성 컨테이너를 현장에서 생성하여 탐지 회피,https://attack.mitre.org/techniques/T1612/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1622,Debugger Evasion,공격자가 디버거 탐지 회피,분석 도구를 감지하고 동작 변경,https://attack.mitre.org/techniques/T1622/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1140,Deobfuscate/Decode Files or Information,공격자가 난독화 해제,실행 시점에 암호화된 코드 복호화,https://attack.mitre.org/techniques/T1140/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1610,Deploy Container,공격자가 컨테이너로 탐지 회피,격리된 환경에서 악성 활동 수행,https://attack.mitre.org/techniques/T1610/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1006,Direct Volume Access,공격자가 볼륨에 직접 접근,파일 시스템 모니터링 우회,https://attack.mitre.org/techniques/T1006/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1484,Domain or Tenant Policy Modification,공격자가 도메인 정책 수정,보안 정책 약화,https://attack.mitre.org/techniques/T1484/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1480,Execution Guardrails,공격자가 실행 제약 조건 설정,특정 환경에서만 악성코드 실행,https://attack.mitre.org/techniques/T1480/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1211,Exploitation for Defense Evasion,공격자가 취약점으로 방어 우회,보안 소프트웨어 무력화,https://attack.mitre.org/techniques/T1211/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1222,File and Directory Permissions Modification,공격자가 파일 권한 변경,접근 제어 우회,https://attack.mitre.org/techniques/T1222/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1564,Hide Artifacts,공격자가 흔적 숨김,숨김 파일이나 프로세스로 은닉,https://attack.mitre.org/techniques/T1564/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1574,Hijack Execution Flow,공격자가 실행 흐름 가로채기,정상 프로그램으로 위장,https://attack.mitre.org/techniques/T1574/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1562,Impair Defenses,공격자가 방어 체계 손상,백신이나 방화벽 비활성화,https://attack.mitre.org/techniques/T1562/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1070,Indicator Removal,공격자가 침해 지표 제거,로그 삭제로 흔적 제거,https://attack.mitre.org/techniques/T1070/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1202,Indirect Command Execution,공격자가 간접 명령 실행,정상 도구로 악성 명령 우회 실행,https://attack.mitre.org/techniques/T1202/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1036,Masquerading,공격자가 위장함,정상 파일명으로 악성코드 위장,https://attack.mitre.org/techniques/T1036/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1556,Modify Authentication Process,공격자가 인증 과정 변경,로그인 모니터링 우회,https://attack.mitre.org/techniques/T1556/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1578,Modify Cloud Compute Infrastructure,공격자가 클라우드 인프라 수정,클라우드 보안 설정 약화,https://attack.mitre.org/techniques/T1578/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1112,Modify Registry,공격자가 레지스트리 수정,보안 설정 변경,https://attack.mitre.org/techniques/T1112/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1601,Modify System Image,공격자가 시스템 이미지 변조,네트워크 장비 펌웨어 수정,https://attack.mitre.org/techniques/T1601/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1599,Network Boundary Bridging,공격자가 네트워크 경계 우회,방화벽 규칙 우회,https://attack.mitre.org/techniques/T1599/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1027,Obfuscated Files or Information,공격자가 파일이나 정보를 난독화,코드 암호화로 탐지 회피,https://attack.mitre.org/techniques/T1027/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1647,Plist File Modification,공격자가 plist 파일 수정,macOS 설정 조작,https://attack.mitre.org/techniques/T1647/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1542,Pre-OS Boot,공격자가 부팅 전 단계 악용,부트킷으로 OS 탐지 우회,https://attack.mitre.org/techniques/T1542/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1055,Process Injection,공격자가 프로세스 인젝션,정상 프로세스에 악성 코드 주입,https://attack.mitre.org/techniques/T1055/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1620,Reflective Code Loading,공격자가 반사 코드 로딩,메모리에서 직접 실행하여 디스크 흔적 없음,https://attack.mitre.org/techniques/T1620/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1207,Rogue Domain Controller,공격자가 가짜 도메인 컨트롤러 설치,Active Directory 탐지 우회,https://attack.mitre.org/techniques/T1207/
TA0005,Defense Evasion (방어 회피),공격자가 보안 탐지를 회피하는 단계. 탐지되지 않기 위해 다양한 기술 사용,T1014,Rootkit,공격자가 루트킷 설치,시스템 깊숙이 숨어서 탐지 불가,https://attack.mitre.org/techniques/T1014/
